0,1,2,3,4,5,6,7,8,9,10,11
0.4096301,0.42130664,0.3561077,0.37001994,0.47410062,0.5888376,0.58417416,0.47059476,0.3859799,0.35072967,0.32750157,0.31343868
0.4163268,0.42880562,0.3521686,0.32393932,0.495536,0.7221079,0.59635836,0.34133998,0.2788099,0.3153365,0.281507,0.30126256
0.3606146,0.4282106,0.411207,0.34635496,0.42706567,0.5914112,0.5395119,0.4644461,0.37587902,0.3897236,0.34474027,0.3076822
0.31514797,0.37784255,0.39510852,0.3280189,0.36827877,0.5128774,0.629449,0.5457656,0.33414146,0.31092876,0.335965,0.3039641
0.10244669,0.13647704,0.103656225,0.09501821,0.10152561,0.12613182,0.116615705,0.13271397,0.100887306,0.090019174,0.09721999,0.09652506
0.99343985,0.91583437,0.82384866,0.7659089,0.6944114,0.7056711,0.5518605,0.58066535,0.6765747,0.7420196,0.8249102,0.9357899
0.9906444,0.9179607,0.8330896,0.77647233,0.70752674,0.71270204,0.5535688,0.5724231,0.6638589,0.73987925,0.826815,0.93920904
0.15395424,0.6940079,0.77777874,0.38301784,0.25439107,0.1365091,0.06263361,0.074794956,0.3868197,0.7555287,0.3168566,0.0643066
0.20377009,0.73575187,0.6080911,0.38494608,0.27979082,0.13291976,0.058792274,0.095940806,0.38397688,0.64594054,0.27961132,0.06942611
0.108326904,0.32927984,0.49735,0.5749002,0.46931118,0.3805567,0.34947413,0.11129213,0.4047213,0.6908473,0.410395,0.20006779
0.121203154,0.32784104,0.54293436,0.6332086,0.5190644,0.3277116,0.29808295,0.14760926,0.4534553,0.7342778,0.35581195,0.2131241
0.25691524,0.55507976,0.53354466,0.62489676,0.25738055,0.21762215,0.16561705,0.3565535,0.75086033,0.3734167,0.24315989,0.11752101
0.29193032,0.55365866,0.50596964,0.5761099,0.21493834,0.1773154,0.16412485,0.44966725,0.7673862,0.348161,0.20770706,0.12820275
0.13995895,0.29610798,0.6155787,0.48434308,0.56592923,0.20457298,0.1636359,0.14298025,0.35679117,0.65512305,0.30588767,0.18354401
0.14294405,0.29825333,0.67626524,0.44556078,0.5348688,0.19978434,0.1677749,0.12492456,0.26792097,0.52107984,0.25542328,0.15829052
0.16191179,0.5922607,0.5138766,0.40618318,0.37881517,0.15290156,0.042517107,0.113059744,0.40490702,0.63271725,0.30081227,0.07170827
0.060938377,0.16151647,0.45258063,0.55513906,0.38063556,0.4250142,0.09743805,0.039699476,0.20794858,0.5720653,0.70176315,0.18358128
0.116979666,0.41085586,0.57876986,0.33822522,0.37412152,0.10220491,0.03704997,0.16232854,0.59318936,0.6741538,0.17443606,0.04462221
0.1300969,0.5467298,0.5439287,0.37057143,0.30889782,0.10272161,0.04235327,0.18620549,0.71625644,0.54635835,0.1577521,0.04893241
0.052965984,0.21033196,0.6245103,0.4120229,0.3560946,0.20463623,0.06795679,0.046449117,0.32617685,0.85676974,0.41539142,0.11034828
0.113858536,0.56295234,0.41455528,0.42120144,0.19087532,0.07730989,0.03710551,0.14283136,0.78882647,0.5635443,0.18244393,0.040535443
0.12998463,0.5108742,0.41133073,0.4619827,0.24220422,0.14212592,0.06178,0.22348143,0.8138705,0.5045286,0.21353255,0.05054791
0.19724086,0.4717852,0.4593426,0.50260186,0.3167467,0.296777,0.10624353,0.26498264,0.75405145,0.50453264,0.26790625,0.0733414
0.35144046,0.4374174,0.5150777,0.46807814,0.49231362,0.5710704,0.33030874,0.3684933,0.4381893,0.57706714,0.79231256,0.4032682
