,0
0,dog_bark
1,dog_bark
2,dog_bark
3,dog_bark
4,gun_shot
5,dog_bark
6,dog_bark
7,dog_bark
8,dog_bark
9,jackhammer
10,jackhammer
11,jackhammer
12,jackhammer
13,jackhammer
14,jackhammer
15,jackhammer
16,jackhammer
17,jackhammer
18,jackhammer
19,jackhammer
20,jackhammer
21,jackhammer
22,jackhammer
23,jackhammer
24,jackhammer
25,jackhammer
26,jackhammer
27,jackhammer
28,jackhammer
29,jackhammer
30,jackhammer
31,engine_idling
32,engine_idling
33,engine_idling
34,engine_idling
35,engine_idling
36,engine_idling
37,engine_idling
38,engine_idling
39,engine_idling
40,engine_idling
41,engine_idling
42,engine_idling
43,engine_idling
44,engine_idling
45,engine_idling
46,engine_idling
47,engine_idling
48,engine_idling
49,engine_idling
50,engine_idling
51,children_playing
52,children_playing
53,children_playing
54,children_playing
55,children_playing
56,children_playing
57,children_playing
58,children_playing
59,siren
60,siren
61,siren
62,siren
63,street_music
64,street_music
65,street_music
66,street_music
67,street_music
68,street_music
69,street_music
70,children_playing
71,children_playing
72,children_playing
73,children_playing
74,children_playing
75,children_playing
76,children_playing
77,children_playing
78,engine_idling
79,engine_idling
80,engine_idling
81,engine_idling
82,engine_idling
83,engine_idling
84,engine_idling
85,engine_idling
86,engine_idling
87,engine_idling
88,engine_idling
89,dog_bark
90,dog_bark
91,dog_bark
92,dog_bark
93,dog_bark
94,dog_bark
95,dog_bark
96,dog_bark
97,siren
98,siren
99,siren
100,siren
101,siren
102,siren
103,siren
104,siren
105,siren
106,siren
107,siren
108,siren
109,siren
110,siren
111,siren
112,dog_bark
113,engine_idling
114,engine_idling
115,engine_idling
116,engine_idling
117,engine_idling
118,engine_idling
119,engine_idling
120,engine_idling
121,gun_shot
122,street_music
123,street_music
124,street_music
125,street_music
126,street_music
127,street_music
128,dog_bark
129,dog_bark
130,dog_bark
131,dog_bark
132,air_conditioner
133,dog_bark
134,street_music
135,street_music
136,street_music
137,street_music
138,street_music
139,street_music
140,air_conditioner
141,air_conditioner
142,air_conditioner
143,air_conditioner
144,air_conditioner
145,air_conditioner
146,air_conditioner
147,air_conditioner
148,air_conditioner
149,air_conditioner
150,air_conditioner
151,air_conditioner
152,air_conditioner
153,air_conditioner
154,air_conditioner
155,air_conditioner
156,air_conditioner
157,air_conditioner
158,air_conditioner
159,air_conditioner
160,air_conditioner
161,air_conditioner
162,air_conditioner
163,air_conditioner
164,air_conditioner
165,children_playing
166,children_playing
167,children_playing
168,children_playing
169,children_playing
170,children_playing
171,children_playing
172,children_playing
173,street_music
174,street_music
175,street_music
176,street_music
177,street_music
178,street_music
179,dog_bark
180,dog_bark
181,dog_bark
182,children_playing
183,children_playing
184,children_playing
185,children_playing
186,children_playing
187,children_playing
188,children_playing
189,children_playing
190,street_music
191,street_music
192,street_music
193,street_music
194,street_music
195,street_music
196,drilling
197,drilling
198,engine_idling
199,children_playing
200,children_playing
201,children_playing
202,children_playing
203,children_playing
204,children_playing
205,children_playing
206,children_playing
207,engine_idling
208,engine_idling
209,engine_idling
210,engine_idling
211,engine_idling
212,engine_idling
213,engine_idling
214,engine_idling
215,engine_idling
216,engine_idling
217,engine_idling
218,engine_idling
219,engine_idling
220,engine_idling
221,drilling
222,drilling
223,drilling
224,drilling
225,drilling
226,drilling
227,drilling
228,drilling
229,drilling
230,drilling
231,drilling
232,dog_bark
233,dog_bark
234,air_conditioner
235,air_conditioner
236,air_conditioner
237,air_conditioner
238,air_conditioner
239,air_conditioner
240,air_conditioner
241,air_conditioner
242,air_conditioner
243,air_conditioner
244,air_conditioner
245,air_conditioner
246,air_conditioner
247,air_conditioner
248,street_music
249,street_music
250,street_music
251,street_music
252,street_music
253,street_music
254,dog_bark
255,children_playing
256,children_playing
257,children_playing
258,car_horn
259,siren
260,siren
261,siren
262,siren
263,siren
264,siren
265,siren
266,siren
267,siren
268,siren
269,siren
270,siren
271,siren
272,siren
273,siren
274,siren
275,siren
276,siren
277,siren
278,siren
279,siren
280,siren
281,siren
282,siren
283,siren
284,siren
285,siren
286,siren
287,siren
288,siren
289,siren
290,siren
291,siren
292,siren
293,siren
294,siren
295,siren
296,siren
297,siren
298,siren
299,siren
300,siren
301,siren
302,siren
303,siren
304,siren
305,siren
306,siren
307,siren
308,children_playing
309,children_playing
310,children_playing
311,children_playing
312,children_playing
313,children_playing
314,children_playing
315,children_playing
316,dog_bark
317,street_music
318,street_music
319,street_music
320,street_music
321,street_music
322,street_music
323,car_horn
324,car_horn
325,car_horn
326,car_horn
327,siren
328,siren
329,siren
330,siren
331,siren
332,siren
333,siren
334,dog_bark
335,dog_bark
336,dog_bark
337,dog_bark
338,children_playing
339,children_playing
340,children_playing
341,children_playing
342,children_playing
343,children_playing
344,children_playing
345,drilling
346,drilling
347,drilling
348,drilling
349,drilling
350,drilling
351,drilling
352,dog_bark
353,dog_bark
