,0
0,dog_bark
1,drilling
2,drilling
3,drilling
4,drilling
5,drilling
6,drilling
7,drilling
8,drilling
9,drilling
10,drilling
11,drilling
12,drilling
13,drilling
14,drilling
15,drilling
16,drilling
17,drilling
18,drilling
19,drilling
20,drilling
21,drilling
22,drilling
23,drilling
24,engine_idling
25,engine_idling
26,engine_idling
27,engine_idling
28,engine_idling
29,engine_idling
30,engine_idling
31,engine_idling
32,gun_shot
33,engine_idling
34,engine_idling
35,engine_idling
36,dog_bark
37,dog_bark
38,dog_bark
39,dog_bark
40,dog_bark
41,dog_bark
42,dog_bark
43,dog_bark
44,dog_bark
45,dog_bark
46,dog_bark
47,dog_bark
48,dog_bark
49,car_horn
50,car_horn
51,car_horn
52,dog_bark
53,siren
54,siren
55,children_playing
56,children_playing
57,children_playing
58,children_playing
59,children_playing
60,children_playing
61,children_playing
62,children_playing
63,dog_bark
64,dog_bark
65,dog_bark
66,dog_bark
67,dog_bark
68,dog_bark
69,dog_bark
70,dog_bark
71,dog_bark
72,dog_bark
73,air_conditioner
74,air_conditioner
75,air_conditioner
76,air_conditioner
77,air_conditioner
78,air_conditioner
79,air_conditioner
80,air_conditioner
81,air_conditioner
82,air_conditioner
83,air_conditioner
84,air_conditioner
85,air_conditioner
86,air_conditioner
87,air_conditioner
88,air_conditioner
89,air_conditioner
90,air_conditioner
91,air_conditioner
92,air_conditioner
93,air_conditioner
94,air_conditioner
95,air_conditioner
96,air_conditioner
97,children_playing
98,children_playing
99,children_playing
100,children_playing
101,children_playing
102,children_playing
103,children_playing
104,children_playing
105,gun_shot
106,gun_shot
107,gun_shot
108,gun_shot
109,gun_shot
110,gun_shot
111,gun_shot
112,gun_shot
113,gun_shot
114,gun_shot
115,gun_shot
116,gun_shot
117,gun_shot
118,gun_shot
119,street_music
120,street_music
121,street_music
122,street_music
123,street_music
124,street_music
125,drilling
126,engine_idling
127,engine_idling
128,engine_idling
129,engine_idling
130,engine_idling
131,engine_idling
132,engine_idling
133,engine_idling
134,engine_idling
135,engine_idling
136,engine_idling
137,engine_idling
138,engine_idling
139,engine_idling
140,engine_idling
141,engine_idling
142,engine_idling
143,engine_idling
144,engine_idling
145,engine_idling
146,engine_idling
147,engine_idling
148,engine_idling
149,engine_idling
150,engine_idling
151,engine_idling
152,engine_idling
153,engine_idling
154,engine_idling
155,engine_idling
156,engine_idling
157,engine_idling
158,engine_idling
159,engine_idling
160,dog_bark
161,air_conditioner
162,air_conditioner
163,air_conditioner
164,air_conditioner
165,air_conditioner
166,air_conditioner
167,air_conditioner
168,air_conditioner
169,air_conditioner
170,air_conditioner
171,air_conditioner
172,air_conditioner
173,air_conditioner
174,air_conditioner
175,air_conditioner
176,air_conditioner
177,air_conditioner
178,air_conditioner
179,air_conditioner
180,air_conditioner
181,air_conditioner
182,air_conditioner
183,air_conditioner
184,air_conditioner
185,gun_shot
186,gun_shot
187,gun_shot
188,gun_shot
189,children_playing
190,children_playing
191,children_playing
192,children_playing
193,children_playing
194,children_playing
195,children_playing
196,children_playing
197,car_horn
198,car_horn
199,car_horn
200,car_horn
201,air_conditioner
202,air_conditioner
203,air_conditioner
204,air_conditioner
205,children_playing
206,children_playing
207,children_playing
208,children_playing
209,children_playing
210,street_music
211,street_music
212,street_music
213,street_music
214,street_music
215,street_music
216,children_playing
217,children_playing
218,children_playing
219,children_playing
220,children_playing
221,children_playing
222,children_playing
223,children_playing
224,dog_bark
225,dog_bark
226,dog_bark
227,dog_bark
228,dog_bark
229,air_conditioner
230,air_conditioner
231,air_conditioner
232,air_conditioner
233,air_conditioner
234,air_conditioner
235,air_conditioner
236,air_conditioner
237,air_conditioner
238,dog_bark
239,gun_shot
240,gun_shot
241,gun_shot
242,gun_shot
243,gun_shot
